Date,Rice_Thai_5pct,Rice_Thai_25pct,Rice_Thai_A1,Rice_Vietnamese_5pct,Oil_Dubai_Oman_USD_per_bbl,Inflation_Asia_Avg_pct,Population_Growth_Asia_Avg_pct,Population_Total_Asia_Avg_millions,ENSO_Nino34_Anomaly,Fertilizer_Composite_USD_per_mt,ENSO_Phase,Crisis_2008_Financial,Crisis_2011_Food,COVID_Period,Ukraine_Conflict,Asia_Avg_Rainfall_mm
2024-03-01,613.00,584.00,607.72,585.43,84.70,2.67,0.50,571.98,28.41,369.90,El Nino,0.00,0.00,0.00,1.00,84.68
2024-04-01,592.00,564.00,577.95,571.50,89.39,2.67,0.50,571.98,28.59,353.00,El Nino,0.00,0.00,0.00,1.00,87.04
2024-05-01,628.00,593.00,606.47,567.97,83.53,2.67,0.50,571.98,28.16,340.24,El Nino,0.00,0.00,0.00,1.00,123.97
2024-06-01,632.00,595.00,613.30,561.63,82.17,2.67,0.50,571.98,27.90,363.10,El Nino,0.00,0.00,0.00,1.00,173.47
2024-07-01,590.00,557.00,570.87,552.43,83.94,2.67,0.50,571.98,27.34,368.16,El Nino,0.00,0.00,0.00,1.00,198.94
2024-08-01,589.00,560.00,566.70,535.25,77.95,2.67,0.50,571.98,26.73,368.44,El Nino,0.00,0.00,0.00,1.00,159.62
2024-09-01,580.00,556.00,564.25,540.46,73.43,2.67,0.50,571.98,26.45,367.20,El Nino,0.00,0.00,0.00,1.00,162.98
2024-10-01,515.00,499.00,504.81,529.84,74.65,2.67,0.50,571.98,26.44,376.51,El Nino,0.00,0.00,0.00,1.00,163.36
2024-11-01,511.00,487.00,489.60,509.69,72.79,2.67,0.50,571.98,26.45,370.26,El Nino,0.00,0.00,0.00,1.00,103.42
2024-12-01,527.00,500.00,501.94,495.67,73.31,2.67,0.50,571.98,26.00,368.57,El Nino,0.00,0.00,0.00,1.00,91.28
